"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"New Hampshire"	"33"	"Merrimack County, NH"	"33013"	"2011"	"2011"	16	146579	Unreliable
	"New Hampshire"	"33"	"Merrimack County, NH"	"33013"	"2012"	"2012"	10	146761	Unreliable
	"New Hampshire"	"33"	"Merrimack County, NH"	"33013"	"2013"	"2013"	20	146849	13.6
	"New Hampshire"	"33"	"Merrimack County, NH"	"33013"	"2014"	"2014"	41	147171	27.9
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2006"	"2006"	34	293618	11.6
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2007"	"2007"	44	294132	15.0
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2008"	"2008"	28	294996	9.5
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2009"	"2009"	41	295083	13.9
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2010"	"2010"	30	295223	10.2
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2011"	"2011"	45	296207	15.2
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2012"	"2012"	42	297820	14.1
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2013"	"2013"	41	299134	13.7
	"New Hampshire"	"33"	"Rockingham County, NH"	"33015"	"2014"	"2014"	70	300621	23.3
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2006"	"2006"	13	120363	Unreliable
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2007"	"2007"	11	121735	Unreliable
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2008"	"2008"	11	122460	Unreliable
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2009"	"2009"	20	123034	16.3
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2010"	"2010"	18	123143	Unreliable
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2011"	"2011"	17	123857	Unreliable
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2012"	"2012"	13	124119	Unreliable
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	"2013"	"2013"	23	124593	18.5
