"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Kauai County, HI"	"15007"	"2013"	"2013"	Suppressed	69512	Suppressed
	"Hawaii"	"15"	"Kauai County, HI"	"15007"	"2014"	"2014"	Suppressed	70475	Suppressed
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2006"	"2006"	Suppressed	145667	Suppressed
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2007"	"2007"	11	148012	Unreliable
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2008"	"2008"	Suppressed	151325	Suppressed
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2009"	"2009"	Suppressed	153300	Suppressed
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2010"	"2010"	20	154834	12.9
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2011"	"2011"	38	156674	24.3
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2012"	"2012"	29	158226	18.3
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2013"	"2013"	20	160202	12.5
	"Hawaii"	"15"	"Maui County, HI"	"15009"	"2014"	"2014"	25	163019	15.3
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide (X60-X64);"
"Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"States: Hawaii (15)"
"Year/Month: 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014"
"Group By: State; County; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 1, 2026 7:31:36 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
